GDP,Unemployment,Inflation,InterestRate,Swiss franc/Euro,Euro/Dollar,Euro/Uk,Stoxx50,Property Prices Ger,Property Prices UK,VIX
805419.5433333333,4.967178,98.3,2.74,1.2418,0.84914,1.2982,280.1768,102.51973347492432,101.65200251729331,17.66758181818182
808525.29,4.928655,98.5,2.67,1.2322,0.85191,1.3189,268.2708,102.67495788622479,102.09175461777171,21.90055
809905.61,4.897453,98.9,2.72,1.2366,0.86192,1.308,272.3612,103.319,103.0756,19.40465652173913
811285.93,4.873892,98.9,2.82,1.2338,0.85904,1.331,284.2189,103.02359473667954,103.07262132003179,18.805613636363635
812666.25,4.854286,98.9,2.88,1.2338,0.84171,1.3348,290.6391,103.20638951272893,103.57945881472648,18.886714285714284
813068.83,4.841614,98.6,2.9,1.2316,0.8472,1.3635,301.4406,102.7744,103.5744,17.880282608695655
813471.41,4.84149,98.8,2.93,1.2316,0.8378,1.3493,308.7193,103.6080153659861,104.66819012170556,15.72684761904762
813873.99,4.847408,99.3,2.85,1.2245,0.83639,1.3704,304.7365,103.82815417736599,105.24863809328646,17.03706111111111
816706.45,4.846388,98.6,2.87,1.2317,0.82674,1.361,314.7265,103.3807,105.0707,18.152195454545453
819538.91,4.826525,99.2,2.88,1.2212,0.8251,1.3659,315.9142,104.27847777789266,106.39764882745965,18.419215
822371.37,4.790609,99.4,2.76,1.2177,0.8317,1.3823,316.9753,104.53219068851475,107.02199280754965,19.366466666666668
822313.85,4.750595,99.2,2.77,1.2189,0.8252,1.3813,323.2356,105.2256,108.7282,17.44451
822256.3300000001,4.710765,99.0,2.67,1.2204,0.81535,1.3732,324.6928,105.06741498255568,108.28539561505495,16.253733333333333
822198.81,4.688254,99.4,2.59,1.2181,0.80409,1.3592,331.4711,105.34876598541274,108.92108913472802,14.321261904761906
823722.8466666667,4.688383,99.6,2.5,1.215,0.7931,1.3539,322.3027,105.34,112.2195,15.80365652173913
825246.8833333334,4.699346,99.7,2.46,1.2118,0.7973,1.3316,311.3403,105.96972608527628,110.25800123933972,18.079638095238096
826770.92,4.702677,99.7,2.34,1.2076,0.79113,1.2901,324.0328,106.28993289822918,110.91345738163173,16.72609090909091
828870.05,4.683558,99.3,2.28,1.2078,0.78861,1.2673,304.2193,105.6013,112.3857,22.36105652173913
830969.18,4.637926,99.3,2.2,1.2027,0.79054,1.2472,315.6973,106.98231205027729,112.25689174186051,19.7701
833068.31,4.575882,99.4,2.17,1.2026,0.7883,1.2331,320.0532,107.35604154824242,112.94302104460061,22.294384210526317
832464.5733333334,4.517498,98.1,2.15,1.094,0.7668,1.1621,327.3937,107.7635,112.0532,26.418638095238098
831860.8366666667,4.475473,99.0,2.01,1.0618,0.74051,1.135,353.2025,108.10941086460123,114.25180840425935,22.55293
831257.1,4.451004,99.7,1.92,1.0608,0.72358,1.0838,373.8719,108.52705177430649,114.93962645675423,19.218454545454545
832694.84,4.431127,100.2,1.91,1.0379,0.72116,1.0779,383.2678,108.7442,114.547,20.99377
834132.58,4.404449,100.6,1.81,1.0391,0.72124,1.115,373.444,109.38953598336981,116.28989141788989,22.015615789473685
835570.32,4.368118,100.5,1.89,1.0455,0.72078,1.1213,363.9918,109.8321725833878,116.95103765002716,26.15386818181818
837065.6166666666,4.325683,100.9,2.04,1.0492,0.70685,1.0996,366.3121,109.1101,118.2045,23.578678260869566
838560.9133333333,4.29049,100.8,2.09,1.0777,0.71423,1.1139,356.7042,110.78206799158148,118.30771919477684,25.110590476190477
840056.21,4.262803,100.5,2.07,1.0913,0.73129,1.1221,330.8934,111.2573480125591,118.9581056506809,31.4502
841493.95,4.242316,100.5,2.07,1.0882,0.73287,1.1235,342.185,111.273,119.7007,23.650945454545454
842931.6900000001,4.218961,99.5,2.04,1.0833,0.70658,1.0736,358.2185,112.2518606666124,120.26485199511687,22.819966666666666
844369.43,4.184092,99.6,1.98,1.0827,0.72595,1.0877,345.997,112.770329534173,120.919435593848,23.800159999999998
846842.5466666667,4.13831,98.5,2.0,1.0941,0.75459,1.086,320.7532,114.1153,121.0308,29.650479999999998
849315.6633333333,4.087998,98.9,1.97,1.1018,0.77559,1.1093,304.3218,113.79552652826156,122.16476971117842,31.689290476190475
851788.78,4.04485,99.8,1.85,1.092,0.7802,1.11,322.1525,114.33506133845475,122.79561582202132,24.542766666666665
852421.3833333333,4.012788,99.9,1.93,1.093,0.7923,1.1339,323.422,116.2022,123.6908,22.69337619047619
853053.9866666667,3.988136,100.5,1.86,1.1059,0.77779,1.1311,319.5306,115.41293419017111,124.00843037727039,23.628168181818182
853686.59,3.9625,100.6,1.82,1.0894,0.79049,1.1229,312.1851,115.94959742576759,124.58964910880684,30.888295454545457
854693.0333333333,3.924157,101.2,1.78,1.0867,0.84106,1.1069,312.8494,117.7171,126.1845,22.401061904761907
855699.4766666667,3.869618,101.1,1.74,1.0881,0.85521,1.1212,323.2033,117.06894635052224,125.75538734438972,20.08389565217391
856705.92,3.808805,101.1,1.7,1.0919,0.85228,1.1212,325.512,117.61418701001263,126.30091745331389,19.80924090909091
858028.6666666667,3.749502,101.2,1.68,1.0887,0.8939,1.1026,327.851,119.4624,126.1845,19.2167
859351.4133333333,3.70074,100.3,1.67,1.0758,0.86894,1.0799,324.5457,118.72675181206513,127.36938704688892,21.917272727272728
860674.16,3.671248,101.2,1.72,1.075,0.84441,1.0543,342.5502,119.29278029569875,127.88999927810522,17.04694761904762
864398.0066666667,3.654074,100.2,1.82,1.0714,0.861,1.0614,352.4299,119.8911,126.3508,15.984045454545454
868121.8533333333,3.639746,101.0,1.87,1.066,0.85273,1.0643,353.2234,120.36804342028137,128.83587486352397,15.544030000000001
871845.7,3.622456,101.3,1.87,1.0706,0.8656,1.0685,365.6609,120.93061200308648,129.3078450722396,14.994673913043478
873916.2033333333,3.597488,101.9,1.91,1.0727,0.84824,1.0723,373.9048,121.2749,129.1771,20.23536111111111
875986.7066666667,3.565684,101.8,1.88,1.0904,0.85554,1.1058,387.0645,122.02940912807877,130.18275777197846,14.951281818181819
878057.21,3.527591,102.3,1.87,1.0874,0.87724,1.1229,383.5812,122.56449330449198,130.58550000840054,14.350222727272728
880386.4766666667,3.492991,102.9,1.88,1.1059,0.88617,1.1511,377.8377,122.4409,132.1696,13.973190476190476
882715.7433333333,3.465955,103.0,1.94,1.1398,0.91121,1.1807,375.0612,123.65577858919329,131.35669739481102,15.585030434782608
885045.01,3.44314,103.0,1.92,1.147,0.8947,1.1915,380.737,124.17543994652502,131.69889027384394,13.271366666666665
888035.7166666667,3.418431,102.7,1.9,1.1546,0.89071,1.1756,391.6759,125.1533,132.0033,12.443809090909092
891026.4233333333,3.389175,102.0,1.9,1.164,0.88795,1.1738,391.6916,125.21185847390632,132.32890714875123,13.340145454545455
894017.13,3.35383,102.7,1.86,1.1689,0.88265,1.1836,389.7159,125.72678954487465,132.61385443292247,12.80368947368421
